"date","QQQ","SP500","NASDAQ","VIX","MKTRF","SMB","HML","RMW","CMA","RF","MOM","QQQ_log_return"
2023-06-28,362.616973876953,4376.85986328125,13591.75,13.4300003051758,0.04,0.47,-0.42,-0.62,-0.42,0.019,0.23,0.00194959710799747
2023-06-29,361.890808105469,4396.43994140625,13591.330078125,13.539999961853,0.44,0.76,0.76,0.58,0.46,0.019,-0.35,-0.00200457754273398
2023-06-30,367.471221923828,4450.3798828125,13787.919921875,13.5900001525879,1.14,-0.73,-0.77,-0.1,-0.29,0.019,0.81,0.0153024766394223
2023-07-03,368.336639404297,4455.58984375,13816.76953125,13.5699996948242,0.15,0.27,1.08,0.16,0.11,0.022,-1.1,0.00235229310531349
2023-07-05,368.326690673828,4446.81982421875,13791.650390625,14.1800003051758,-0.29,-1.06,-0.26,-0.29,-0.01,0.022,-0.07,-2.70102503092673e-05
2023-07-06,365.521545410156,4411.58984375,13679.0400390625,15.4399995803833,-0.95,-0.59,-0.68,0.57,0.06,0.022,0.37,-0.00764506552833755
2023-07-07,364.308013916016,4398.9501953125,13660.7197265625,14.8299999237061,-0.12,1.3,1.25,-0.2,0.19,0.022,-0.68,-0.00332552332805491
2023-07-10,364.427368164062,4409.52978515625,13685.48046875,15.0699996948242,0.37,1.24,-0.01,-1.01,0.54,0.022,0.54,0.000327565401788021
2023-07-11,366.227813720703,4439.259765625,13760.7001953125,14.8400001525879,0.75,0.18,0.49,-0.22,0.29,0.022,-0.79,0.00492831432780338
2023-07-12,370.853271484375,4472.16015625,13918.9599609375,13.539999961853,0.74,0.37,0.43,-0.3,-0.45,0.022,0.1,0.0125509081028952
2023-07-13,377.14990234375,4510.0400390625,14138.5703125,13.6099996566772,0.9,-0.07,-0.1,-0.17,-0.67,0.022,0.17,0.0168362376399651
2023-07-14,377.0703125,4505.419921875,14113.7001953125,13.3400001525879,-0.25,-0.7,-1.51,0.42,-0.54,0.022,0.76,-0.00021105200438587
2023-07-17,380.591644287109,4522.7900390625,14244.9501953125,13.4799995422363,0.49,0.64,-0.27,-0.39,-0.06,0.022,0.93,0.00929532520411946
2023-07-18,383.705139160156,4554.97998046875,14353.6396484375,13.3000001907349,0.78,0.44,1.09,0.63,-0.44,0.022,-0.46,0.00814739028939115
2023-07-19,383.615570068359,4565.72021484375,14358.01953125,13.7600002288818,0.25,0.26,1.32,0.15,0.18,0.022,-1.88,-0.000233459337475317
2023-07-20,374.772521972656,4534.8701171875,14063.3095703125,13.9899997711182,-0.81,-0.35,0.65,0.45,1.48,0.022,-0.09,-0.0233216976827553
2023-07-21,373.648468017578,4536.33984375,14032.8095703125,13.6000003814697,-0.05,-0.37,-0.37,-0.16,0.11,0.022,-0.81,-0.00300380351511009
2023-07-24,374.245300292969,4554.64013671875,14058.8701171875,13.9099998474121,0.31,-0.03,0.78,0.96,-0.22,0.022,-0.48,0.00159603523220309
2023-07-25,376.781860351562,4567.4599609375,14144.5595703125,13.8599996566772,0.25,-0.23,-0.79,0.47,-0.4,0.022,0.91,0.00675493467239718
2023-07-26,375.528472900391,4566.75,14127.2802734375,13.1899995803833,0.02,0.87,1.02,-0.35,0.64,0.022,-1.62,-0.00333210526417371
2023-07-27,374.633239746094,4537.41015625,14050.1103515625,14.4099998474121,-0.75,-0.81,0.26,0.39,0.13,0.022,0.97,-0.00238677491584482
2023-07-28,381.457092285156,4582.22998046875,14316.66015625,13.3299999237061,1.14,0.42,-0.32,-0.76,-0.39,0.022,0.55,0.0180508532790205
2023-07-31,381.655975341797,4588.9599609375,14346.01953125,13.6300001144409,0.26,1,-0.09,-0.94,0.06,0.022,-0.03,0.00052124139811216
2023-08-01,380.770721435547,4576.72998046875,14283.91015625,13.9300003051758,-0.35,-0.11,0.31,0.19,-0.28,0.02,0.6,-0.00232220174821229
2023-08-02,372.4150390625,4513.39013671875,13973.4501953125,16.0900001525879,-1.49,-0.04,0.59,0.68,0.69,0.02,-0.31,-0.0221884842237428
2023-08-03,371.818206787109,4501.89013671875,13959.7197265625,15.9200000762939,-0.2,0.02,0.08,0.33,-0.34,0.02,0.11,-0.00160388535895795
2023-08-04,370.077392578125,4478.02978515625,13909.240234375,17.1000003814697,-0.49,0.07,0.77,-0.17,-0.66,0.02,-0.43,-0.00469289049654442
2023-08-07,373.210754394531,4518.43994140625,13994.400390625,15.7700004577637,0.77,-1.08,0.57,0.66,-0.1,0.02,0.36,0.00843113236807369
2023-08-08,370.037628173828,4499.3798828125,13884.3203125,15.9899997711182,-0.47,0.11,0.12,0.51,0.03,0.02,0.35,-0.0085385870290926
2023-08-09,365.969207763672,4467.7099609375,13722.01953125,15.960000038147,-0.78,-0.02,-0.04,0.85,0.03,0.02,-0.32,-0.0110555001656643
2023-08-10,366.645599365234,4468.830078125,13737.990234375,15.8500003814697,0.01,-0.45,-0.67,-0.02,-0.06,0.02,-0.3,0.00184651412220216
2023-08-11,364.308013916016,4464.0498046875,13644.849609375,14.8400001525879,-0.11,0.25,0.47,-0.21,0.37,0.02,-0.29,-0.00639601029601167
2023-08-14,368.396331787109,4489.72021484375,13788.330078125,14.8199996948242,0.51,-0.85,-0.79,0.11,-0.63,0.02,1.15,0.0111596452897214
2023-08-15,364.487060546875,4437.85986328125,13631.0498046875,16.4599990844727,-1.18,0,-1.04,0.19,0.05,0.02,0.99,-0.0106682955516799
2023-08-16,360.627502441406,4404.330078125,13474.6298828125,16.7800006866455,-0.81,-0.48,-0.14,0.38,0.02,0.02,-0.2,-0.0106454752158429
2023-08-17,356.688385009766,4370.35986328125,13316.9296875,17.8899993896484,-0.87,-0.17,0.5,0.49,0.16,0.02,-1.1,-0.0109830469325196
2023-08-18,356.240814208984,4369.7099609375,13290.7802734375,17.2999992370605,0.04,0.41,-0.22,0.07,-0.12,0.02,0.48,-0.00125558291081607
